collateral_auction_type,collateral_name,collateral_specification,collateral_info,collateral_market_price,invoice_auction_price,invoice_ttd,invoice_num,mrent_price,cc_bill,food_cost,trans_cost,employee_installment_loan,monthly_income,Bonus_income,salary_reduction,add_income,dependents_1,dependents_2,dependents_3,dependents_4,dependents_5,coworker_report,fraud
Elektronik,laptop,MacBook Air M2,Baru,20215742.05635845,42976932.97970504,True,5839.0,647502,0,762911,697468,3069602,8685535,3219089,795620.9673007497,6155919,2799022,0,1144484,4799855,2124937,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Xiaomi 12S Pro,Bekas,16282731.426934227,13435489.48126131,True,4210.0,1406468,5892731,1059767,1439289,0,11905693,0,1156945.55793519,0,0,3795706,0,955628,48489,0,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor sport,Suzuki GSX-R 150,Bekas,28628459.491140738,79635713.4486814,True,8514.0,1206143,1589093,751865,1431606,0,25836819,4640555,2548629.0753021645,0,0,0,627491,1940255,1382117,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,2363 m2 pinggiran kota Tangerang,,30204546544.0,55971162610.03996,True,5367.0,893499,0,1156395,914759,0,29863909,2429937,2491787.182785542,0,0,3127060,4443947,853532,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,Asus ZenBook 14X OLED,Baru,17629646.763218895,38362658.54633322,True,,842055,0,895139,427236,8135426,27939264,0,1719671.570519685,10303634,4997386,0,1296687,2474304,1321569,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor bebek,Yamaha Jupiter MX,Bekas,15990620.095472638,33270452.626430087,True,9368.0,1110354,0,930186,1054404,4769293,13673465,0,984725.7919951153,13271212,1715357,2084635,2740344,3530839,151829,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Realme GT 2 Pro,Baru,12133937.563638655,23262702.903586905,True,9259.0,903473,0,1285591,1199691,7954347,32771092,4441789,2860383.210514085,10426376,1397882,0,0,4581863,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,1742 m2 pinggiran kota Surabaya Timur,,17162001090.0,37876115066.56273,True,5266.0,771338,0,772954,734005,0,16729871,0,968265.1745593275,0,0,0,0,2847898,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,gelang,Gelang mutiara multi dengan desain chevron,,7644346.695211655,9643409.854384936,True,2535.0,556470,4321976,1251156,1089508,9607172,12800904,2991351,796288.7988839537,0,0,2504563,0,0,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor sport,Yamaha R15,Baru,39053238.53846405,91765630.97298226,True,5391.0,1052699,0,960593,644506,0,30188124,1667986,2913013.312036314,1816268,4501098,695036,0,2174493,4763858,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,3929 m2 pinggiran kota Tangerang,,49053046372.0,44358121420.01561,True,5737.0,634802,2894044,953705,1033776,0,30603937,4635085,3055089.6715836823,18573245,0,0,0,3244594,2025547,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor gede,Yamaha Vixion,Bekas,18836640.767053124,50848026.63337515,True,7811.0,1857246,0,1409325,844063,0,20345251,0,1438086.6322897472,0,0,4363173,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,kalung,Gelang mutiara multi dengan desain chevron,,9843446.497108525,21155397.540855154,True,,647482,8594320,1408990,1348769,0,12352922,0,813066.2594611342,0,1750684,0,1025497,2983228,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Televisi,Samsung QLED QN90B,Bekas,11987370.108719502,10212243.830989417,True,4844.0,1624805,0,1498238,1193529,0,10085637,4781042,1006201.8086645401,0,0,673030,1058449,0,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Samsung QLED QN90B,Baru,17829195.674558908,23576584.602116525,True,7113.0,1662363,6394125,1231426,1440288,0,25406196,0,1525483.550515416,8288034,434173,2005238,0,4167503,2921097,3,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,laptop,MSI Modern 15,Bekas,9510854.308353001,12324384.104017975,True,3707.0,1341325,4614281,984871,362347,8033001,18337247,1643274,1709167.1663582467,5300738,1368144,0,0,0,1422685,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,Dell XPS 13 9320,Bekas,14935907.703897115,27385842.320139647,True,8122.0,664321,0,1158023,1217246,2658164,29890451,0,2040752.4845626554,10402660,2876361,3749060,4487592,695264,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Apartemen 262 m2 Surabaya Utara,Baru,1781246479.0,2803236321.8745737,False,,532507,7547042,1009386,1331776,0,27402010,1938522,1697270.03220814,0,0,4021900,0,0,3980583,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,cincin,Cincin kawin emas kuning 22 karat,,6491320.432772581,14206620.070824033,False,7823.0,1464874,0,1106062,1078691,0,34907584,1267040,2973926.606873424,0,0,739482,1713398,1254682,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting emas kuning 22K,,6296243.833713013,13218158.791427972,True,,1085062,0,1471753,514603,0,17854841,0,1766792.839247594,1251870,0,0,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 0.5 gram,,6296243.833713013,8448198.858696284,True,8020.0,670623,0,1026700,660036,7759514,24332274,4958957,2152719.5970670218,0,2805868,0,0,4230847,1644446,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,cincin,Cincin tunangan berlian solitaire 1 karat,,22315491.90966879,15465390.16249288,True,8981.0,1654890,4853679,1107175,1450448,4140814,20694934,0,1972060.9968463161,12286931,0,3318125,4157936,0,4667364,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor gede,Honda CB 150R Streetfire,Baru,29583057.437946804,20803675.310979452,True,3607.0,1791379,0,1145700,1295901,0,23308638,1191548,1378570.5103245226,12892490,0,4476636,3459119,3122327,1677209,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Samsung QLED QN90B,Bekas,11194634.081975363,29525218.286467824,True,9843.0,605659,7867352,1339839,1021398,3990134,27859423,1086689,1956589.2250726034,11183360,4303765,2855327,190378,3714349,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,gelang,Gelang perak sterling dengan liontin mutiara dan berlian,,1014580.3433986247,739792.6308002837,True,1794.0,279969,0,1077053,545091,5817099,10465963,4647535,690405.0798854097,0,1289937,0,4290704,3287311,0,0,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,mobil mewah,BMW Seri 3,Bekas,2262515803.7342696,3138398778.684497,True,1976.0,639986,0,1317647,459190,4249145,30357147,1414442,2956080.993949648,2108969,4747025,0,0,1267788,937409,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 1000 gram,,2262515803.7342696,2660056828.7530355,True,9465.0,1169307,9211240,935654,1143694,0,16294482,4259763,1320933.1781818098,0,4850735,2805927,0,3314509,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,laptop,HP Spectre x360 14,Baru,17966125.847534616,13523231.145497315,True,1634.0,482831,8202656,1124783,920534,2807263,33697361,0,2039966.0393378406,0,0,1691717,3837863,3519046,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,MSI Modern 15,Baru,12584695.462081427,18343238.027913272,True,9101.0,1367273,0,1042157,731614,2418678,10899219,0,657475.9314873166,0,0,0,0,0,502315,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
