debtor_age,debtor_gender,debtor_education_level,debtor_marital_status,debtor_number_of_dependents,debtor_asset_ownership,debtor_asset_value,debtor_occupation,debtor_yearly_income,debtor_yearly_expense,debtor_net_income,debtor_income_frequency,debtor_loan_amount,debtor_reschedule_history,debtor_delay_history,debtor_communication_channel,debtor_tenor,debtor_num_of_paid_months,debtor_num_of_unpaid_months,debtor_days_before_due_date,debtor_business_prospect_growth_potential,debtor_business_prospect_market_conditions,debtor_performance_profitability,debtor_performance_cash_flow,debtor_repayment_ability_accuracy,jan,feb,mar,apr,may,jun,jul,august,sept,oct,nov,des,debtor_aging,debtor_risk_status
43,Laki-laki,S1,Cerai Hidup,1,TRUE,0,Pegawai Swasta,103500000,16037138,87462861,12,25500000,2,1,Field,28,20,8,0,FALSE,2,5,FALSE,TRUE,0,0,0,0,0,1,0,0,0,0,0,0,DPK,Cukup Beresiko
47,Perempuan,S1,Kawin,2,TRUE,0,Pengusaha,735500000,13875427,721624572,12,183500000,2,0,Field,35,25,10,1,TRUE,1,5,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,Lancar,Tidak Beresiko
59,Laki-laki,SD,Kawin,4,TRUE,250000000,Pegawai Negeri,84500000,57147007,27352992,12,21000000,2,2,WhatsApp,22,19,3,9,TRUE,3,1,TRUE,TRUE,0,1,0,0,1,0,0,0,0,0,0,1,Kurang lancar,Beresiko
36,Perempuan,S3,Kawin,1,TRUE,400000000,Pegawai Swasta,59000000,13777351,45222648,12,14500000,2,0,SMS,33,22,11,2,FALSE,1,1,FALSE,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
42,Laki-laki,SMP,Belum Kawin,0,FALSE,0,Pegawai Negeri,104500000,0,104500000,12,26000000,2,1,Telpon,6,2,0,-2,TRUE,1,5,TRUE,TRUE,0,0,1,0,0,0,0,0,0,0,0,0,DPK,Cukup Beresiko
38,Laki-laki,SMP,Belum Kawin,0,TRUE,100000000,Profesional,236000000,0,236000000,12,59000000,0,0,E-mail,25,11,14,6,FALSE,3,1,FALSE,FALSE,1,2,0,0,0,0,0,0,0,1,0,0,Kurang lancar,Beresiko
46,Perempuan,S2,Kawin,2,FALSE,0,Pegawai Negeri,72500000,30509887,41990112,12,18000000,0,0,WhatsApp,34,3,4,3,FALSE,2,5,FALSE,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,DPK,Cukup Beresiko
47,Perempuan,S3,Belum Kawin,0,FALSE,0,Pegawai Swasta,81500000,0,81500000,12,20000000,2,0,E-mail,14,8,0,-5,FALSE,1,5,TRUE,FALSE,0,0,0,0,0,0,1,0,1,0,1,2,Diragukan,Sangat Beresiko
32,Perempuan,S1,Belum Kawin,0,FALSE,250000000,Pegawai Swasta,115500000,0,115500000,12,28500000,0,1,Telpon,28,24,0,2,TRUE,1,1,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,1,DPK,Cukup Beresiko
55,Perempuan,S3,Belum Kawin,0,FALSE,0,Pegawai Swasta,53000000,0,53000000,12,13000000,1,1,Telpon,17,11,0,4,FALSE,1,5,FALSE,TRUE,0,0,0,0,1,0,0,0,0,0,0,0,DPK,Cukup Beresiko
