debtor_name,CreditScore,Gender,debtor_age,Tenure,arrear_amount,loan_amount,Efficient_HumanResources,debtor_occupation
794,619,0,42,2,1,101348.88,1,2
967,608,0,41,1,1,112542.58,0,2
4812,502,0,42,8,3,113931.57,1,2
3601,699,0,39,1,2,93826.63,0,1
1132,850,0,43,2,1,79084.1,0,0
2389,645,1,44,8,2,149756.71,1,1
3495,822,1,50,7,2,10062.8,0,2
3121,376,0,29,4,4,119346.88,1,3
1936,501,1,44,4,2,74940.5,0,4
3080,684,1,27,2,1,71725.73,0,4
2700,528,1,31,6,2,80181.12,0,0
4281,497,1,24,3,2,76390.01,0,2
1670,476,0,34,10,2,26260.98,0,2
6583,549,0,25,5,2,190857.79,0,1
3270,635,0,35,7,2,65951.65,0,3
945,616,1,45,3,2,64327.26,0,3
2179,653,1,58,1,1,5097.67,1,4
4828,549,0,24,9,2,14406.41,0,2
5144,587,1,45,6,1,158684.81,0,4
5159,726,0,24,6,2,54724.03,0,4
6291,732,1,41,8,2,170886.17,0,2
5989,636,0,32,8,2,138555.46,0,3
686,510,0,38,4,1,118913.53,1,0
1326,669,1,46,3,2,8487.75,0,3
2567,846,0,38,5,1,187616.16,0,0
1088,577,1,25,3,2,124508.29,0,2
2096,756,1,36,2,1,170041.95,0,2
1754,571,1,44,9,2,38433.35,0,3
5296,574,0,43,3,1,100187.43,0,4
3389,411,1,29,0,2,53483.21,0,0
3325,591,0,39,3,3,140469.38,1,2
1142,533,1,36,7,1,156731.91,0,3
2862,553,1,41,9,2,81898.81,0,0
5930,520,0,42,6,2,34410.55,0,4
3309,722,0,29,9,2,142033.07,0,0
351,475,0,45,0,1,27822.99,1,3
5792,490,1,31,3,1,114066.77,0,4
1639,804,1,33,7,1,98453.45,0,0
2334,850,1,36,7,1,40812.9,0,1
5473,582,1,41,6,2,178074.04,0,4
3088,472,1,40,4,1,70154.22,0,0
3464,465,0,51,8,1,181297.65,1,1
6710,556,0,61,2,1,94153.83,0,0
6839,834,0,49,2,1,194365.76,1,2
3624,660,0,61,5,1,158338.39,0,2
2162,776,0,32,4,2,126517.46,0,1
6015,829,0,27,9,1,119708.21,1,1
177,637,0,39,9,1,117622.8,1,2
2480,550,1,38,2,1,90878.13,0,1
3327,776,0,37,2,2,194099.12,0,3
3165,698,1,44,10,2,198059.16,0,3
6064,585,1,36,5,2,86424.57,0,0
2872,788,0,33,5,2,116978.19,0,1
5658,655,1,41,8,1,164040.94,1,3
6616,601,1,42,1,1,40014.76,1,1
4208,619,1,43,1,1,113410.49,0,1
2576,656,1,45,5,1,87107.57,0,2
2721,725,1,19,0,1,45613.75,0,2
5428,511,0,66,4,1,1643.11,1,4
5467,614,1,51,4,1,46775.28,0,2
5482,742,1,35,5,1,84509.57,0,3
6671,687,0,27,9,2,126494.82,0,1
1732,555,1,33,1,2,178798.13,0,1
3037,684,1,56,8,1,99398.36,0,2
1177,603,1,26,4,1,92840.67,0,2
6763,751,0,36,6,2,27758.36,0,2
3472,581,0,34,1,1,110431.51,0,3
5981,735,1,43,10,2,196673.28,0,0
3771,661,0,35,5,2,113656.85,0,2
5353,675,0,21,8,1,18203.0,0,2
6630,738,1,58,2,4,28373.86,1,1
4245,813,1,29,6,1,33953.87,0,2
1656,657,0,37,0,1,44203.55,0,3
1234,604,0,25,5,2,58426.81,0,1
4827,519,1,36,9,2,145562.4,0,0
1558,735,0,21,1,2,22388.0,0,3
928,664,1,55,8,2,139161.64,0,1
6183,678,0,32,9,1,148210.64,0,0
5529,757,1,33,5,1,194239.63,0,1
1182,416,0,41,10,2,98301.61,0,0
6217,665,0,34,1,2,171413.66,0,0
5721,777,0,32,2,1,136458.19,1,2
308,543,0,36,3,2,26019.59,0,1
4915,506,0,34,4,1,159235.29,0,4
1987,493,0,46,4,2,1907.66,0,3
1736,652,0,75,10,2,114675.75,0,4
958,750,1,22,3,1,128643.35,1,0
6795,729,1,30,9,2,151869.35,0,3
4234,646,0,46,4,3,93251.42,1,0
4380,635,0,28,3,2,156791.36,0,2
2601,647,0,44,5,3,174205.22,1,4
5628,808,1,45,7,2,147132.46,0,2
953,524,0,36,10,2,109614.57,0,0
2796,769,1,29,8,2,172290.61,0,4
157,730,1,42,4,2,85982.47,0,2
1919,515,1,35,10,1,121277.78,0,3
4954,773,1,41,9,1,64595.25,0,1
2438,814,1,29,8,2,197276.13,0,3
5073,710,1,22,8,2,99645.04,0,2
5936,413,1,34,9,2,6534.18,0,2
1981,665,0,40,6,1,161848.03,0,2
3430,623,0,44,6,2,167162.43,0,3
1372,738,1,31,9,1,41970.72,0,4
5355,528,1,36,7,2,60536.56,0,1
1286,670,0,65,1,1,177655.68,1,0
6891,622,0,46,4,2,30984.59,1,2
2148,582,1,32,1,1,10054.53,0,0
2157,785,0,36,2,1,36976.52,0,4
6800,605,1,33,5,1,71862.79,0,1
6512,479,1,35,9,1,99449.86,1,2
5297,685,1,30,3,1,63082.88,0,2
303,538,1,39,7,2,27231.26,0,4
4870,562,1,42,2,1,86797.41,0,3
4952,675,1,36,9,1,22994.32,0,4
1607,721,1,28,9,2,101300.94,1,0
2608,628,0,30,9,2,74169.13,0,4
650,668,0,37,6,1,115638.29,0,4
3952,506,0,41,1,2,31766.3,0,1
4794,524,0,31,8,1,199725.39,1,3
3611,699,1,34,4,2,120834.48,0,4
5836,828,1,34,8,2,38131.77,0,2
163,674,1,39,6,1,100130.95,0,2
289,656,0,39,6,2,141069.88,0,3
1282,684,0,48,10,1,198129.36,0,1
